;EventTypeId;EventType;Description;ValueName;FormatType;DisplayUnits
97;1825907491738184089;HosViolation;837:Weekly Driving;;;
98;6908615140553864348;HosViolation;838:Monthly Driving;;;
99;-7743386764194853504;Default;3-Axis - Lift Off;3-Axis Liftoff Severity;Value;
100;-4398378188999478703;Default;3-Axis – Harsh Cornering;3-Axis Cornering G-Force (High Sensitivity);Value;G
101;-3266057215132991570;Default;3-Axis - Rollover;3-Axis X-Axis Rotation;Value;
102;3410000371978983850;Default;3-Axis - Rough Road;3-Axis Road Roughness Severity;Value;
103;5778168543245285440;Default;3-Axis - Possible Accident;3-Axis Impact Severity;Value;
104;-4313373244482545430;Default;DriveMate Mode Change;;;
105;-5856432860580602666;HosViolation;840:Required Rest Before;;;
106;3762264000645059186;Hidden;Configuration confirmed;Version of configuration that was accepted;Integer;
107;7982182222986239649;Custom;(HP) Banguela;Velocidade;Speed;km/h
108;8912377795794369708;Custom;HC - Falha velocidade Sensor/CAN;GPS velocity;Speed;km/h
109;-1781390428471250016;Custom;HC - GPS velocity as speed fallback;;;
110;-1068807496570848844;Custom;HC - Sem GPS;;;
111;9158742440464658924;Custom;HC - Sem RPM;;;
112;-225322217624061558;Default;* OBC unit reset;;;
113;3067265545407279544;HosViolation;856:Split Break Reset;;;
114;3203334990470836499;HosViolation;852:Maximum Consecutive Driving Days;;;
115;3269849178444244131;HosViolation;855:Weekly Rolling On Duty Reset;;;
116;5093883055575592834;HosViolation;854:Maximum Weekly Driving;;;
117;5191813006292187858;HosViolation;853:Weekly Rolling Reset;;;
118;5237475855404103650;HosViolation;835:Night Driving;;;
119;7018716150654874550;HosViolation;857:Maximum Two Week Driving;;;
120;2190406540841410081;HosViolation;861:Required Off Duty In Calendar Month ;;;
121;5274492333575493152;Custom;HC - Aceleração Brusca;Aceleração;Acceleration;km/h/s
122;-6147266358306541600;Custom;TT:MB-MiX - TICK Pressão do Sistema de Freios C 2;FMS Service Brake Air Pressure Circuit 2;Value;kPa
123;-1379984654454808363;Custom;HC - RPM;Engine RPM;Value;RPM
124;3651464826771402743;Custom;HC - Velocidade GPS Máxima;GPS velocity;Speed;km/h
125;-5384536043410519844;Custom;Sem GPRS - Garagem;GSM signal quality;Value;
126;4825318985014246224;Custom;Sem GPRS - Operação;GSM signal quality;Value;
127;-6724339864990572804;Custom;Odometro Alta Resolução;FM High resolution odometer;DistanceKilometers;km
128;548623617942164810;Custom;(HP) Excesso de Rotação;Rotação;Value;RPM
129;569712952018602615;Custom;HC - Excesso de Velocidade;Velocidade;Speed;km/h
130;-3609392196539581128;Custom;(HP) Curva Brusca;3-Axis Cornering G-Force (Medium Sensitivity);Value;G
131;4532187928100910523;Custom;(HP) Freada Brusca;Velocidade;Speed;km/h
132;3827677251289459370;Custom;MiX - Hodômetro de alta resolução;FMS High resolution odometer;Value;km
133;7651958308154428287;Custom;(HP) Inércia;;;
134;-8588945320609074370;Default;Firmware info;;;
135;-8156819268807087992;Default;Settings version changed;;;
136;-2998837133460910260;Default;Firmware version changed;;;
137;-2971750131261417491;Default;Configuration version changed;;;
138;-195021832516758230;Default;Firmware error;;;
139;-4006354661462717098;Custom;(HP) Uso excessivo da embreagem parado;;;
140;-8887950390163793858;Custom;FMS - Porcentagem do pedal de freio - GL;FMS Brake Pedal Position;Value;%
141;3017243793800557686;Custom;FMS - Top Brake - GL;FMS Top Brake;Value;
142;8387722637256022940;Custom;FMS - Clutch pedal position - GL;FMS Clutch pedal position;Value;%
143;8508261317636318228;Custom;FMS - Accelerator pedal position - GL;FMS Accelerator Pedal Position;Value;%
144;-3258128909964553503;Custom;FMS - Freio de serviço sem freio motor - GL;FMS Top Brake;Value;
145;7038227315454193211;Custom;(HP) Uso excessivo da embreagem em movimento;Velocidade;Speed;km/h
146;5742604598548247598;Diagnostic;CAN loss detected;;;
147;-7297492232153881177;Default;Driver Assist - Bluetooth Remote;;;
148;-4298158154586517219;Diagnostic;Low Battery - Bluetooth Remote;;;
149;-7150983691850886396;Custom;(HP) Acelerando Parado;Rotação;Value;RPM
150;8678978490952518882;Custom;(HP) Baixa tensão de bateria (18 V);Tensão da Bateria;Value;mV
151;2937187362208966035;Diagnostic;CAN speed/RPM loss detected;;;
152;-4340433886541590978;Custom;(HP) Temp. liq. arrefecimento (Média);FMS Engine Coolant Temperature;Value;°C
153;-8078463675889364911;Custom;(HP) Temp. liq. arrefecimento (Máxima);FMS Engine Coolant Temperature;Value;°C
154;-6087879220239231094;Hidden;Charging status whilst out of trip;;;
155;1896701076315097944;Hidden;Periodic SOC;EV CAN: State of charge thousands;Value;%
156;4748629011999503251;HosViolation;862:Weekly Rest;;;
157;-986797213280595187;Custom;FMS High resolution odometer;FMS High resolution odometer;Value;km
158;-5503870273528803438;Custom;(HP) Ignição Ligada;Tensão da Bateria;Value;mV
159;6005371287290190191;Custom;(HP) Ignição Desligada;Tensão da Bateria;Value;mV
160;-2977226927105487812;Custom;(HP) Ignição Ligada motor desligado;;;
161;4745460876959782086;Custom;(HP) Temperatura do óleo (Máxima) VW;FMS DM Engine Oil Temperature;Value;C
162;-5129485112838336600;Custom;(HP) Temperatura do óleo (Média) VW;FMS DM Engine Oil Temperature;Value;C
163;654157134844138586;Custom;(HP) Uso indevido pedal acelerador 85%;FMS AcceleratorPedalPosition;Value;%
164;3763233301535010925;Custom;EV State of charge thousands;EV CAN: State of charge thousands;Value;%
165;-4331278288623837610;Custom;EV State of health;EV CAN: State of health;Value;%
166;3078156376447371064;Custom;EV Vehicle range remaning;EV CAN: Vehicle range remaining;Value;km
167;-4268403106295969306;Custom;EV Trip net energy usage;EV CAN: Trip net energy usage;Value;kWh
168;2929930587183384322;Custom;EV fms interior temperature;FMS Interior Temperature;Value;°C
169;5569520636474413753;Custom;EV Battery current charge power;EV CAN: Battery current charge power;Value;kW
170;5134552897153355326;Custom;EV accelerator pedal position;FMS AcceleratorPedalPosition;Value;%
171;-1319993422151500698;Custom;FMS High resolution;FMS High resolution odometer;Value;km
172;4545150352389612191;Custom;ELETRA - EV CAN: State of charge - tick;EV CAN: State of charge thousands;Value;%
173;-1413744597227716420;Custom;ELETRA - FMS Interior Temperature - tick;FMS Interior Temperature;Value;°C
174;5024154316445096395;Custom;ELETRA - FMS High resolution odometer - tick;FMS High resolution odometer;Value;km
175;-8393322077111846684;Custom;ELETRA - FMS Ambient Air Temperature - tick;FMS Ambient Air Temperature;Value;°C
176;-11822095803231631;Custom;ELETRA - FMS AcceleratorPedalPosition - tick;FMS AcceleratorPedalPosition;Value;%
177;-7136507782548859562;Custom;ELETRA - EV CAN: Charging Status - tick;EV CAN: Charging status;Value;
178;-8698290778080007628;Custom;ELETRA - FMS Brake Pedal Switch - tick;FMS Brake Pedal Switch;Value;
179;1111141420387027793;Custom;ELETRA - FMS Door Release - tick;FMS Door Release;Value;
180;4751141245804815071;Custom;ELETRA -Electronic Control Module Status -tick;Electronic Control Module Status;Value;s
181;9053268852580782752;Custom;ELETRA - EV CAN: Charging Gun Status - tick;EV CAN: Charging Gun Status;Value;
182;-3702705793868642849;Custom;ELETRA - CANV1 - Tachograph vehicle speed - tick;CANV1 - Tachograph vehicle speed;Value;
183;844027017066111983;Custom;ELETRA - HVAC status zone 1 - tick;HVAC status zone 1;Value;
184;2743185658600545352;Custom;ELETRA - EV CAN: Inverter Temperature - tick;EV CAN: Inverter Temperature;Value;°C
185;1505083944494985216;ServerSide;Entrada/Saída - Garagem Central;Velocidade;Speed;km/h
186;1508990091828637696;ServerSide;Entrada e Saída da Garagem Central;Velocidade;Speed;km/h
187;1514774225334644736;ServerSide;(HP Teste) - Excesso de velocidade nos terminais - 10KM;Velocidade;Speed;km/h
