Timestamp,Longitude,Latitude,DriverId,AssetId,PositionId,IsAvl,Source,AgeOfReadingSeconds,Pdop,Hdop,NumberOfSatellites,Heading,SpeedKilometresPerHour,FormattedAddress,AltitudeMetres,OdometerKilometres
2024-04-08T04:48:52Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289373428891366745,True,Gps,8636,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T04:58:53Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289376010166711641,True,Gps,9237,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:08:53Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289378587147089241,True,Gps,9837,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:18:54Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289381168422434137,True,Gps,10438,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:28:54Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289383745402811737,True,Gps,11038,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:38:55Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289386326678156633,True,Gps,11639,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:48:55Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289388903658534233,True,Gps,12239,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T05:58:56Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289391484933879129,True,Gps,12840,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T06:08:57Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289394066209224025,True,Gps,13441,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T06:18:58Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289396647484568921,True,Gps,14042,0.0,25,10,32,0.0,,0.0,899036.063
2024-04-08T06:25:38Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289398365471487321,True,Gps,14442,0.0,2,10,32,0.0,,,899036.063
2024-04-08T06:28:59Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289399228759913817,True,Gps,0,0.0,1,12,32,0.033,,0.0,899036.063
2024-04-08T06:38:59Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289401805740291417,True,Gps,0,0.0,1,12,32,0.054,,0.0,899036.063
2024-04-08T06:48:59Z,-49.30147393606603,-16.70251895673573,-106647426425259773,1498924807959474176,3289404382720669017,True,Gps,542,0.0,25,12,32,0.0,,0.0,899036.063
